City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,portland,45.5234,-122.6762,10.19,86,100,4.02,US,1701479509
320,arraial do cabo,-22.9661,-42.0278,23.92,91,8,0.23,BR,1701479643
321,grand rapids,42.9634,-85.6681,2.17,95,100,5.66,US,1701479460
322,moundou,8.5667,16.0833,25.67,31,33,1.32,TD,1701479643
323,mugia,43.1041,-9.2179,8.84,71,40,4.45,ES,1701479644
324,santa elena de uairen,4.6167,-61.1333,24.03,55,99,0.61,VE,1701479644
325,verkhnevilyuysk,63.4453,120.3167,-33.97,98,100,1.88,RU,1701479644
326,mariestad,58.7097,13.8237,-4.74,95,100,2.21,SE,1701479644
327,praia da vitoria,38.7333,-27.0667,17.64,79,100,7.9,PT,1701479626
328,conkal,21.0667,-89.5333,28.03,69,20,4.63,MX,1701479646
329,ilovlya,49.3033,43.9796,8.05,95,100,5.62,RU,1701479646
330,piedras blancas,-31.1862,-59.9596,20.83,95,100,2.5,AR,1701479646
331,tobelo,1.7284,128.0095,29.33,71,24,1.89,ID,1701479647
332,zonguldak,41.25,31.8333,9.29,75,0,2.68,TR,1701479647
333,zunyi,27.6867,106.9072,5.7,88,100,0.8,CN,1701479647
334,nago,26.5881,127.9761,20.25,64,91,5.04,JP,1701479647
335,lerwick,60.1545,-1.1494,2,71,80,2.52,GB,1701479648
336,bandraboua,-12.7044,45.1223,26.82,74,29,4.28,YT,1701479648
337,coahuayana de hidalgo,18.7,-103.6583,25.36,76,100,0.72,MX,1701479648
338,at taj,24.2049,23.2857,13.26,38,0,4.24,LY,1701479649
339,severo-yeniseyskiy,60.3725,93.0408,-8.57,98,100,1.34,RU,1701479649
340,middlebury (village),44.0153,-73.1673,6.24,92,100,1.54,US,1701479554
341,zhezqazghan,47.7833,67.7667,-3.68,80,0,4,KZ,1701479434
342,al bardiyah,31.7561,25.0865,16.64,49,0,2.6,LY,1701479649
343,polyarnyy,69.1989,33.4478,-14.62,99,91,2.54,RU,1701479585
344,dakhla,23.6848,-15.958,19.93,94,3,2.79,EH,1701479650
345,hirara,24.8,125.2833,20.12,75,100,10.51,JP,1701479650
346,tsiombe,-25.3,45.4833,20.33,75,70,5.59,MG,1701479560
347,san pedro pochutla,15.7333,-96.4667,27.84,84,79,1.25,MX,1701479651
348,awjilah,29.1081,21.2869,15.48,32,0,3.63,LY,1701479651
349,babayevo,59.3936,35.9371,-10.47,98,100,1.47,RU,1701479651
350,bria,6.5423,21.9863,24.82,65,100,0.95,CF,1701479494
351,renqiu,38.6989,116.0936,-0.15,28,0,1.18,CN,1701479652
352,manhattan,40.7834,-73.9662,8.3,87,100,4.47,US,1701479545
